Field ID,Field Description,Short Name,Category,Type,Instance,Data Coding,To Exclude 1,To Exclude 2,Notes
27720,Volume of G-oc-temp-med-Lingual (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27721,Volume of G-oc-temp-med-Parahip (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27722,Volume of G-orbital (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27723,Volume of G-pariet-inf-Angular (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27724,Volume of G-pariet-inf-Supramar (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27725,Volume of G-parietal-sup (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27726,Volume of G-postcentral (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27727,Volume of G-precentral (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27728,Volume of G-precuneus (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27729,Volume of G-rectus (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27730,Volume of G-subcallosal (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27731,Volume of G-temp-sup-G-T-transv (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27732,Volume of G-temp-sup-Lateral (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27733,Volume of G-temp-sup-Plan-polar (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27734,Volume of G-temp-sup-Plan-tempo (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27735,Volume of G-temporal-inf (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27736,Volume of G-temporal-middle (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27737,Volume of Lat-Fis-ant-Horizont (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27738,Volume of Lat-Fis-ant-Vertical (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27739,Volume of Lat-Fis-post (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27740,Volume of Pole-occipital (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27741,Volume of Pole-temporal (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27742,Volume of S-calcarine (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27743,Volume of S-central (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27744,Volume of S-cingul-Marginalis (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27745,Volume of S-circular-insula-ant (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27746,Volume of S-circular-insula-inf (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27747,Volume of S-circular-insula-sup (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27748,Volume of S-collat-transv-ant (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27749,Volume of S-collat-transv-post (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27750,Volume of S-front-inf (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27751,Volume of S-front-middle (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27752,Volume of S-front-sup (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27753,Volume of S-interm-prim-Jensen (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27754,Volume of S-intrapariet+P-trans (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27755,Volume of S-oc-middle+Lunatus (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27756,Volume of S-oc-sup+transversal (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27757,Volume of S-occipital-ant (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27758,Volume of S-oc-temp-lat (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27759,Volume of S-oc-temp-med+Lingual (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27760,Volume of S-orbital-lateral (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27761,Volume of S-orbital-med-olfact (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27762,Volume of S-orbital-H-Shaped (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27763,Volume of S-parieto-occipital (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27764,Volume of S-pericallosal (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27765,Volume of S-postcentral (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27766,Volume of S-precentral-inf-part (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27767,Volume of S-precentral-sup-part (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27768,Volume of S-suborbital (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27769,Volume of S-subparietal (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27770,Volume of S-temporal-inf (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27771,Volume of S-temporal-sup (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27772,Volume of S-temporal-transverse (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26523,Volume of 3rd-Ventricle (whole brain),,T1 structural brain MRI,Brain GMV,2,,,,
26524,Volume of 4th-Ventricle (whole brain),,T1 structural brain MRI,Brain GMV,2,,,,
26564,Volume of Accumbens-area (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26595,Volume of Accumbens-area (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26563,Volume of Amygdala (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26594,Volume of Amygdala (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26526,Volume of Brain-Stem (whole brain),,T1 structural brain MRI,Brain GMV,2,,,,
26535,Volume of CC-Anterior (whole brain),,T1 structural brain MRI,Brain GMV,2,,,,
26533,Volume of CC-Central (whole brain),,T1 structural brain MRI,Brain GMV,2,,,,
26534,Volume of CC-Mid-Anterior (whole brain),,T1 structural brain MRI,Brain GMV,2,,,,
26532,Volume of CC-Mid-Posterior (whole brain),,T1 structural brain MRI,Brain GMV,2,,,,
26531,Volume of CC-Posterior (whole brain),,T1 structural brain MRI,Brain GMV,2,,,,
26559,Volume of Caudate (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26590,Volume of Caudate (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26557,Volume of Cerebellum-Cortex (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26588,Volume of Cerebellum-Cortex (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26556,Volume of Cerebellum-White-Matter (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26587,Volume of Cerebellum-White-Matter (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26562,Volume of Hippocampus (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26593,Volume of Hippocampus (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26555,Volume of Inf-Lat-Vent (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26586,Volume of Inf-Lat-Vent (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26554,Volume of Lateral-Ventricle (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26585,Volume of Lateral-Ventricle (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26561,Volume of Pallidum (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26592,Volume of Pallidum (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26560,Volume of Putamen (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26591,Volume of Putamen (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26558,Volume of Thalamus-Proper (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26589,Volume of Thalamus-Proper (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26565,Volume of VentralDC (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26596,Volume of VentralDC (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26567,Volume of choroid-plexus (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26598,Volume of choroid-plexus (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26566,Volume of vessel (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
26597,Volume of vessel (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
30600,Albumin,Albumin,Blood biochemistry,Blood biochem,0,,,,Liver
30710,C-reactive protein,CRP,Blood biochemistry,Blood biochem,0,,,,Inflammatory
30730,Gamma glutamyltransferase,GGT,Blood biochemistry,Blood biochem,0,,,,Liver
30740,Glucose,Glucose,Blood biochemistry,Blood biochem,0,,,,Diabetes
30750,Glycated haemoglobin (HbA1c),HbA1c,Blood biochemistry,Blood biochem,0,,,,Diabetes
30770,IGF-1,IGF-1,Blood biochemistry,Blood biochem,0,,,,Hormone
30780,LDL direct,LDL,Blood biochemistry,Blood biochem,0,,,,Cardiovascular
30790,Lipoprotein A,Lp-a,Blood biochemistry,Blood biochem,0,,,,Cardiovascular
30000,White blood cell (leukocyte) count,WBC,Blood count,Blood count,2,,,,Inflammatory
30010,Red blood cell (erythrocyte) count,RBC,Blood count,Blood count,2,,,,Hematological
30020,Haemoglobin concentration,Haemo conc,Blood count,Blood count,2,,,,Hematological
30040,Mean corpuscular volume,Corp  vol,Blood count,Blood count,2,,,,Hematological
30050,Mean corpuscular haemoglobin,Corp haemo,Blood count,Blood count,2,,,,Hematological
30080,Platelet count,Platelet,Blood count,Blood count,2,,,,Inflammatory
30120,Lymphocyte count,Lymphocyte,Blood count,Blood count,2,,,,Inflammatory
30130,Monocyte count,Monocyte,Blood count,Blood count,2,,,,Inflammatory
30140,Neutrophill count,Neutrophill,Blood count,Blood count,2,,,,Inflammatory
30150,Eosinophill count,Eosinophill,Blood count,Blood count,2,,,,
30160,Basophill count,Basophill,Blood count,Blood count,2,,,,
30170,Nucleated red blood cell count,Nucleated RBC,Blood count,Blood count,2,,,,
30180,Lymphocyte percentage,Lymphocyte perc,Blood count,Blood count,2,,,,Inflammatory
30190,Monocyte percentage,Monocyte perc,Blood count,Blood count,2,,,,Inflammatory
30200,Neutrophill percentage,Neutrophill perc,Blood count,Blood count,2,,,,Inflammatory
30210,Eosinophill percentage,Eosinoiphill perc,Blood count,Blood count,2,,,,Inflammatory
30220,Basophill percentage,Basophill perc,Blood count,Blood count,2,,,,Inflammatory
23400,Total Cholesterol,Cholesterol,NMR metabolomics,NMR metabol,0,,,,
23403,VLDL Cholesterol,VLDL cholesterol,NMR metabolomics,NMR metabol,0,,,,
23405,LDL Cholesterol,LDL cholesterol,NMR metabolomics,NMR metabol,0,,,,
23406,HDL Cholesterol,HDL cholesterol,NMR metabolomics,NMR metabol,0,,,,
23407,Total Triglycerides,Triglycerides,NMR metabolomics,NMR metabol,0,,,,
23434,Phosphoglycerides,Phosphoglycerides,NMR metabolomics,NMR metabol,0,,,,
23439,Apolipoprotein B,Apo B,NMR metabolomics,NMR metabol,0,,,,
23440,Apolipoprotein A1,Apo A1,NMR metabolomics,NMR metabol,0,,,,
23441,Apolipoprotein B to Apolipoprotein A1 ratio,Apo-B-to-Apo-A1,NMR metabolomics,NMR metabol,0,,,,
23442,Total Fatty Acids,Total fatty,NMR metabolomics,NMR metabol,0,,,,
23444,Omega-3 Fatty Acids,Omega-3 fatty,NMR metabolomics,NMR metabol,0,,,,
23445,Omega-6 Fatty Acids,Omega-6 fatty,NMR metabolomics,NMR metabol,0,,,,
23446,Polyunsaturated Fatty Acids,Polyunsat fatty,NMR metabolomics,NMR metabol,0,,,,
23447,Monounsaturated Fatty Acids,Monounsat fatty,NMR metabolomics,NMR metabol,0,,,,
23448,Saturated Fatty Acids,Sat fatty,NMR metabolomics,NMR metabol,0,,,,
23449,Linoleic Acid,Linoleic,NMR metabolomics,NMR metabol,0,,,,
23450,Docosahexaenoic Acid,DHA,NMR metabolomics,NMR metabol,0,,,,
25079,Mean FA in anterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25078,Mean FA in anterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25073,Mean FA in anterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25072,Mean FA in anterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25059,Mean FA in body of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25071,Mean FA in cerebral peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25070,Mean FA in cerebral peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25091,Mean FA in cingulum cingulate gyrus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25090,Mean FA in cingulum cingulate gyrus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25093,Mean FA in cingulum hippocampus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25092,Mean FA in cingulum hippocampus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25063,Mean FA in corticospinal tract on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
