Field ID,Field Description,Category,Type,Instance,Data Coding,To Exclude 1,To Exclude 2,To Exclude 3
27740,Volume of Pole-occipital (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27741,Volume of Pole-temporal (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27742,Volume of S-calcarine (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27743,Volume of S-central (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27744,Volume of S-cingul-Marginalis (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27745,Volume of S-circular-insula-ant (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27746,Volume of S-circular-insula-inf (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27747,Volume of S-circular-insula-sup (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27748,Volume of S-collat-transv-ant (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27749,Volume of S-collat-transv-post (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27750,Volume of S-front-inf (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27751,Volume of S-front-middle (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27752,Volume of S-front-sup (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27753,Volume of S-interm-prim-Jensen (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27754,Volume of S-intrapariet+P-trans (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27755,Volume of S-oc-middle+Lunatus (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27756,Volume of S-oc-sup+transversal (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27757,Volume of S-occipital-ant (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27758,Volume of S-oc-temp-lat (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27759,Volume of S-oc-temp-med+Lingual (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27760,Volume of S-orbital-lateral (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27761,Volume of S-orbital-med-olfact (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27762,Volume of S-orbital-H-Shaped (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27763,Volume of S-parieto-occipital (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27764,Volume of S-pericallosal (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27765,Volume of S-postcentral (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27766,Volume of S-precentral-inf-part (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27767,Volume of S-precentral-sup-part (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27768,Volume of S-suborbital (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27769,Volume of S-subparietal (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27770,Volume of S-temporal-inf (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27771,Volume of S-temporal-sup (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
27772,Volume of S-temporal-transverse (right hemisphere),T1 structural brain MRI,Brain GMV,2,,,,
25781,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),T2-weightted brain MRI,Brain WM,2,,,,
25488,Weighted-mean FA in tract acoustic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25489,Weighted-mean FA in tract acoustic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25490,Weighted-mean FA in tract anterior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25491,Weighted-mean FA in tract anterior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25492,Weighted-mean FA in tract cingulate gyrus part of cingulum (left),Diffusion brain MRI,Brain WM,2,,,,
25493,Weighted-mean FA in tract cingulate gyrus part of cingulum (right),Diffusion brain MRI,Brain WM,2,,,,
25496,Weighted-mean FA in tract corticospinal tract (left),Diffusion brain MRI,Brain WM,2,,,,
25497,Weighted-mean FA in tract corticospinal tract (right),Diffusion brain MRI,Brain WM,2,,,,
25498,Weighted-mean FA in tract forceps major,Diffusion brain MRI,Brain WM,2,,,,
25499,Weighted-mean FA in tract forceps minor,Diffusion brain MRI,Brain WM,2,,,,
25500,Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25501,Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25502,Weighted-mean FA in tract inferior longitudinal fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25503,Weighted-mean FA in tract inferior longitudinal fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25505,Weighted-mean FA in tract medial lemniscus (left),Diffusion brain MRI,Brain WM,2,,,,
25506,Weighted-mean FA in tract medial lemniscus (right),Diffusion brain MRI,Brain WM,2,,,,
25504,Weighted-mean FA in tract middle cerebellar peduncle,Diffusion brain MRI,Brain WM,2,,,,
25494,Weighted-mean FA in tract parahippocampal part of cingulum (left),Diffusion brain MRI,Brain WM,2,,,,
25495,Weighted-mean FA in tract parahippocampal part of cingulum (right),Diffusion brain MRI,Brain WM,2,,,,
25507,Weighted-mean FA in tract posterior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25508,Weighted-mean FA in tract posterior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25509,Weighted-mean FA in tract superior longitudinal fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25510,Weighted-mean FA in tract superior longitudinal fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25511,Weighted-mean FA in tract superior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25512,Weighted-mean FA in tract superior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25513,Weighted-mean FA in tract uncinate fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25514,Weighted-mean FA in tract uncinate fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25650,Weighted-mean ICVF in tract acoustic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25651,Weighted-mean ICVF in tract acoustic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25652,Weighted-mean ICVF in tract anterior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25653,Weighted-mean ICVF in tract anterior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25654,Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),Diffusion brain MRI,Brain WM,2,,,,
25655,Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),Diffusion brain MRI,Brain WM,2,,,,
25658,Weighted-mean ICVF in tract corticospinal tract (left),Diffusion brain MRI,Brain WM,2,,,,
25659,Weighted-mean ICVF in tract corticospinal tract (right),Diffusion brain MRI,Brain WM,2,,,,
25660,Weighted-mean ICVF in tract forceps major,Diffusion brain MRI,Brain WM,2,,,,
25661,Weighted-mean ICVF in tract forceps minor,Diffusion brain MRI,Brain WM,2,,,,
25662,Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25663,Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25664,Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25665,Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25667,Weighted-mean ICVF in tract medial lemniscus (left),Diffusion brain MRI,Brain WM,2,,,,
25668,Weighted-mean ICVF in tract medial lemniscus (right),Diffusion brain MRI,Brain WM,2,,,,
25666,Weighted-mean ICVF in tract middle cerebellar peduncle,Diffusion brain MRI,Brain WM,2,,,,
25656,Weighted-mean ICVF in tract parahippocampal part of cingulum (left),Diffusion brain MRI,Brain WM,2,,,,
25657,Weighted-mean ICVF in tract parahippocampal part of cingulum (right),Diffusion brain MRI,Brain WM,2,,,,
25669,Weighted-mean ICVF in tract posterior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25670,Weighted-mean ICVF in tract posterior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25671,Weighted-mean ICVF in tract superior longitudinal fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25672,Weighted-mean ICVF in tract superior longitudinal fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25673,Weighted-mean ICVF in tract superior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25674,Weighted-mean ICVF in tract superior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25675,Weighted-mean ICVF in tract uncinate fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25676,Weighted-mean ICVF in tract uncinate fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25704,Weighted-mean ISOVF in tract acoustic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25705,Weighted-mean ISOVF in tract acoustic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25706,Weighted-mean ISOVF in tract anterior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25707,Weighted-mean ISOVF in tract anterior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25708,Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left),Diffusion brain MRI,Brain WM,2,,,,
25709,Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right),Diffusion brain MRI,Brain WM,2,,,,
25712,Weighted-mean ISOVF in tract corticospinal tract (left),Diffusion brain MRI,Brain WM,2,,,,
25713,Weighted-mean ISOVF in tract corticospinal tract (right),Diffusion brain MRI,Brain WM,2,,,,
25714,Weighted-mean ISOVF in tract forceps major,Diffusion brain MRI,Brain WM,2,,,,
25715,Weighted-mean ISOVF in tract forceps minor,Diffusion brain MRI,Brain WM,2,,,,
25716,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25717,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25718,Weighted-mean ISOVF in tract inferior longitudinal fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25719,Weighted-mean ISOVF in tract inferior longitudinal fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25721,Weighted-mean ISOVF in tract medial lemniscus (left),Diffusion brain MRI,Brain WM,2,,,,
25722,Weighted-mean ISOVF in tract medial lemniscus (right),Diffusion brain MRI,Brain WM,2,,,,
25720,Weighted-mean ISOVF in tract middle cerebellar peduncle,Diffusion brain MRI,Brain WM,2,,,,
25710,Weighted-mean ISOVF in tract parahippocampal part of cingulum (left),Diffusion brain MRI,Brain WM,2,,,,
25711,Weighted-mean ISOVF in tract parahippocampal part of cingulum (right),Diffusion brain MRI,Brain WM,2,,,,
25723,Weighted-mean ISOVF in tract posterior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25724,Weighted-mean ISOVF in tract posterior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25725,Weighted-mean ISOVF in tract superior longitudinal fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25726,Weighted-mean ISOVF in tract superior longitudinal fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25727,Weighted-mean ISOVF in tract superior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25728,Weighted-mean ISOVF in tract superior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25729,Weighted-mean ISOVF in tract uncinate fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25730,Weighted-mean ISOVF in tract uncinate fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25569,Weighted-mean L1 in tract acoustic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25570,Weighted-mean L1 in tract acoustic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25571,Weighted-mean L1 in tract anterior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25572,Weighted-mean L1 in tract anterior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25573,Weighted-mean L1 in tract cingulate gyrus part of cingulum (left),Diffusion brain MRI,Brain WM,2,,,,
25574,Weighted-mean L1 in tract cingulate gyrus part of cingulum (right),Diffusion brain MRI,Brain WM,2,,,,
25577,Weighted-mean L1 in tract corticospinal tract (left),Diffusion brain MRI,Brain WM,2,,,,
25578,Weighted-mean L1 in tract corticospinal tract (right),Diffusion brain MRI,Brain WM,2,,,,
25579,Weighted-mean L1 in tract forceps major,Diffusion brain MRI,Brain WM,2,,,,
25580,Weighted-mean L1 in tract forceps minor,Diffusion brain MRI,Brain WM,2,,,,
25581,Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25582,Weighted-mean L1 in tract inferior fronto-occipital fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25583,Weighted-mean L1 in tract inferior longitudinal fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25584,Weighted-mean L1 in tract inferior longitudinal fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25586,Weighted-mean L1 in tract medial lemniscus (left),Diffusion brain MRI,Brain WM,2,,,,
25587,Weighted-mean L1 in tract medial lemniscus (right),Diffusion brain MRI,Brain WM,2,,,,
25585,Weighted-mean L1 in tract middle cerebellar peduncle,Diffusion brain MRI,Brain WM,2,,,,
25575,Weighted-mean L1 in tract parahippocampal part of cingulum (left),Diffusion brain MRI,Brain WM,2,,,,
25576,Weighted-mean L1 in tract parahippocampal part of cingulum (right),Diffusion brain MRI,Brain WM,2,,,,
25588,Weighted-mean L1 in tract posterior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25589,Weighted-mean L1 in tract posterior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25590,Weighted-mean L1 in tract superior longitudinal fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25591,Weighted-mean L1 in tract superior longitudinal fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25592,Weighted-mean L1 in tract superior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25593,Weighted-mean L1 in tract superior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25594,Weighted-mean L1 in tract uncinate fasciculus (left),Diffusion brain MRI,Brain WM,2,,,,
25595,Weighted-mean L1 in tract uncinate fasciculus (right),Diffusion brain MRI,Brain WM,2,,,,
25596,Weighted-mean L2 in tract acoustic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25597,Weighted-mean L2 in tract acoustic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25598,Weighted-mean L2 in tract anterior thalamic radiation (left),Diffusion brain MRI,Brain WM,2,,,,
25599,Weighted-mean L2 in tract anterior thalamic radiation (right),Diffusion brain MRI,Brain WM,2,,,,
25600,Weighted-mean L2 in tract cingulate gyrus part of cingulum (left),Diffusion brain MRI,Brain WM,2,,,,
25601,Weighted-mean L2 in tract cingulate gyrus part of cingulum (right),Diffusion brain MRI,Brain WM,2,,,,
